"mz","rt","CAR_MB_1","CAR_MB_2","CAR_MB_3","CAR_NC_1","CAR_NC_2","CAR_NC_3","SampleID","ID","CAR MB fc","CAR MB pvalue","avg","change"
144.080830891927,5.937,14782169,14645162,15626604,79753.140625,15683.8076171875,17906.7265625,3,481,397.498449539742,0.000396614366474857,15017978.3333333,"up"
227.063639322917,5.68742333333333,348170.28125,288860.5625,343936.25,100,100,100,1,1526,3269.8903125,0.00339782992323569,326989.03125,"up"
234.040501912435,6.12376333333333,95897.0703125,133892.40625,115871.1015625,100,100,100,2,1617,1152.20192708333,0.00896372337191956,115220.192708333,"up"
259.12309773763,5.937,610962.9375,753167.1875,816156.6875,100,100,100,3,1987,7267.62270833333,0.00690276149897334,726762.270833333,"up"
283.12119547526,5.937,678977,680618.125,756416.3125,100,100,100,3,2351,7053.37145833333,0.00130934187196722,705337.145833333,"up"
322.191874186198,5.937,513306.9375,517057.75,554608.1875,100,100,100,3,3009,5283.24291666667,0.000622608563009868,528324.291666667,"up"
344.121561686198,5.55773,91630.7890625,104706.609375,73928.0703125,100,100,100,2,3366,900.884895833333,0.00967962446181293,90088.4895833333,"up"
357.288319905599,7.25232666666667,98929.015625,91125.4765625,114753.53125,100,100,100,3,3564,1016.02674479167,0.00465637742107169,101602.674479167,"up"
373.283091227214,6.853005,171682.890625,168030.34375,142407.5625,100,100,100,1,3813,1607.06932291667,0.00327248196740727,160706.932291667,"up"
381.782246907552,6.91609333333333,115008.3515625,128246.3359375,98741.2734375,100,100,100,2,3949,1139.98653645833,0.00556494296761871,113998.653645833,"up"
398.79145304362,7.28338666666667,127615.8671875,101461.625,106199.5703125,100,100,100,1,4213,1117.59020833333,0.00515175990884097,111759.020833333,"up"
402.196400960286,6.21964333333333,163058.171875,160360.015625,189759.484375,100,100,100,3,4256,1710.59223958333,0.00299844997577369,171059.223958333,"up"
436.371836344401,7.33068833333333,138791.90625,128756.1328125,145869.734375,100,100,100,3,4825,1378.05924479167,0.00129734029908117,137805.924479167,"up"
436.371836344401,7.33068833333333,138791.90625,128756.1328125,145869.734375,100,100,100,3,4826,1378.05924479167,0.00129734029908117,137805.924479167,"up"
481.87114461263,7.79850666666667,136108.890625,113843.7890625,138272.953125,100,100,100,3,5544,1294.08544270833,0.00362570682187976,129408.544270833,"up"
490.885019938151,7.738275,203094.6875,278897.96875,266122.03125,100,100,100,2,5686,2493.715625,0.00871984751431251,249371.5625,"up"
496.830942789714,7.34694666666667,96102.296875,132274.71875,126318.28125,100,100,100,2,5758,1182.31765625,0.00886556739938881,118231.765625,"up"
500.407135009766,6.892255,592884.5625,523961.59375,522870.09375,100,100,100,1,5800,5465.72083333333,0.00179106980424261,546572.083333333,"up"
503.839853922526,7.46484666666667,84754.46875,113735.515625,97813.640625,100,100,100,2,5854,987.67875,0.00713571663609748,98767.875,"up"
509.403696695964,7.189805,212874.921875,224717.53125,170751.8125,100,100,100,2,5945,2027.81421875,0.0064645884671443,202781.421875,"up"
510.892333984375,7.876115,94127.9609375,83902.96875,105435.546875,100,100,100,3,5966,944.888255208333,0.00431240028259436,94488.8255208333,"up"
513.85996500651,6.853005,157509.25,147747.265625,145874.421875,100,100,100,1,6013,1503.76979166667,0.000575578443828204,150376.979166667,"up"
515.864786783854,7.34694666666667,94396.234375,113763.28125,81464.6015625,100,100,100,2,6050,965.413723958333,0.00933801091276057,96541.3723958333,"up"
528.43896484375,7.17395166666667,335737.0625,339690.59375,386766.59375,100,100,100,3,6224,3540.6475,0.00213737672200309,354064.75,"up"
530.419698079427,6.69487333333333,109874.2265625,101302.609375,96133.4921875,100,100,100,1,6251,1024.36776041667,0.00152955406624215,102436.776041667,"up"
531.349772135417,6.99453166666667,295816.96875,338082.71875,265101.6875,100,100,100,2,6266,2996.67125,0.00495025262895451,299667.125,"up"
534.395202636719,7.408895,163042.234375,167610.578125,191296.140625,100,100,100,3,6322,1739.82984375,0.00252635395722295,173982.984375,"up"
539.41455078125,7.05656333333333,313635.90625,330737.1875,361049.09375,100,100,100,3,6391,3351.40729166667,0.00170766988657916,335140.729166667,"up"
539.41455078125,7.05656333333333,313635.90625,330737.1875,361049.09375,100,100,100,3,6392,3351.40729166667,0.00170766988657916,335140.729166667,"up"
575.3759765625,6.97074166666667,251636.171875,234341.78125,193318.546875,100,100,100,1,6812,2264.32166666667,0.00578724952911043,226432.166666667,"up"
583.440694173177,7.00990833333333,300248.8125,238504.46875,250644.71875,100,100,100,1,6906,2631.32666666667,0.00511589728738345,263132.666666667,"up"
583.440694173177,7.00990833333333,300248.8125,238504.46875,250644.71875,100,100,100,1,6907,2631.32666666667,0.00511589728738345,263132.666666667,"up"
603.477193196615,7.05656333333333,145984.03125,122969.6796875,147397.25,100,100,100,3,7139,1387.83653645833,0.00324346442177639,138783.653645833,"up"
611.472880045573,7.228945,124266.125,151975.671875,116134.5859375,100,100,100,2,7233,1307.92127604167,0.00682026628247588,130792.127604167,"up"
615.454711914062,7.50414666666667,225760.609375,230411.9375,177082.71875,100,100,100,2,7278,2110.85088541667,0.00647029932474374,211085.088541667,"up"
622.421875,6.69487333333333,114013.765625,109202.6015625,98001.1640625,100,100,100,1,7363,1070.72510416667,0.00196057763637375,107072.510416667,"up"
627.88730875651,6.79832666666667,135453.453125,141477.421875,131715.90625,100,100,100,2,7403,1362.1559375,0.000436137838438561,136215.59375,"up"
631.947814941406,7.738275,148995.96875,161522.90625,151384.265625,100,100,100,2,7448,1539.67713541667,0.000622244255597,153967.713541667,"up"
633.941772460938,7.38627666666667,95255.2890625,120320.8984375,102380.7109375,100,100,100,2,7474,1059.856328125,0.00492301022842153,105985.6328125,"up"
638.878682454427,6.78097166666667,121111.1328125,106402.171875,121643.5234375,100,100,100,3,7518,1163.85609375,0.00183933253457856,116385.609375,"up"
641.482401529948,7.1269,137744.671875,120859.5625,108462.7109375,100,100,100,1,7543,1223.556484375,0.00478348216733856,122355.6484375,"up"
644.474833170573,7.58240666666667,266609.5625,340901.625,292321.96875,100,100,100,2,7581,2999.44385416667,0.00523592713061254,299944.385416667,"up"
646.953572591146,7.60398333333333,154656.625,174033.265625,200190.078125,100,100,100,3,7611,1762.93322916667,0.00555987900593694,176293.322916667,"up"
654.45253499349,6.86009,107005.0859375,100324.359375,116804.515625,100,100,100,3,7686,1080.44653645833,0.0019598126005241,108044.653645833,"up"
661.958170572917,7.46484666666667,138780.09375,172488.34375,146288.71875,100,100,100,2,7777,1525.19052083333,0.00446345437496903,152519.052083333,"up"
663.42881266276,6.93147666666667,135792.1875,106544.0859375,101267.3203125,100,100,100,1,7798,1145.3453125,0.00868953768021908,114534.53125,"up"
677.507751464844,7.68175666666667,100061.203125,127949.734375,140581.75,100,100,100,3,7930,1228.64229166667,0.00937426660921934,122864.229166667,"up"
687.507649739583,7.16593333333333,175041.15625,145309.359375,157485.875,100,100,100,1,8044,1592.78796875,0.00292612862868132,159278.796875,"up"
704.541320800781,7.13476,387855.8125,326766.0625,407108.34375,100,100,100,3,8216,3739.10072916667,0.0041712155815405,373910.072916667,"up"
718.558024088542,7.17395166666667,206643.828125,210462.90625,275548.84375,100,100,100,3,8310,2308.85192708333,0.00925608138200324,230885.192708333,"up"
721.533203125,7.66009833333333,148121.78125,153814.21875,149041.9375,100,100,100,2,8328,1503.25979166667,0.000137889435516115,150325.979166667,"up"
721.533203125,7.66009833333333,148121.78125,153814.21875,149041.9375,100,100,100,2,8329,1503.25979166667,0.000137889435516115,150325.979166667,"up"
797.522684733073,6.75912,116459.4609375,126915.578125,91229.9453125,100,100,100,2,8898,1115.34994791667,0.00891359847980574,111534.994791667,"up"
834.577067057292,6.95531833333333,122733.9765625,148282.078125,110363.890625,100,100,100,2,9092,1271.266484375,0.00763606757862028,127126.6484375,"up"
836.620646158854,7.09561,203889.59375,175003.09375,216093.609375,100,100,100,3,9106,1983.28765625,0.00375617239226895,198328.765625,"up"
837.589864095052,7.38627666666667,134896.21875,144561.34375,108942.34375,100,100,100,2,9112,1294.66635416667,0.00669003138792614,129466.635416667,"up"
883.594665527344,7.09561,439982.78125,422743.9375,449147.65625,100,100,100,3,9295,4372.91458333333,0.000313279037393818,437291.458333333,"up"
900.594665527344,6.89950333333333,100566.90625,107693.2890625,110562.75,100,100,100,3,9357,1062.74315104167,0.000782349901307508,106274.315104167,"up"
924.645548502604,6.69487333333333,126982.6015625,119189.1171875,110077.390625,100,100,100,1,9473,1187.49703125,0.00169084356253628,118749.703125,"up"
937.684936523438,7.11157666666667,153167.078125,214982.234375,204639.78125,100,100,100,2,9516,1909.29697916667,0.00988598925782211,190929.697916667,"up"
955.65273030599,7.25232666666667,234525.609375,201577.390625,273432.46875,100,100,100,3,9565,2365.11822916667,0.00762778385350315,236511.822916667,"up"
970.671691894531,7.33068833333333,129708.265625,152072.671875,176421.734375,100,100,100,3,9618,1527.34223958333,0.00771984478969067,152734.223958333,"up"
997.698872884115,7.62124166666667,145412.9375,162911.421875,137988.4375,100,100,100,2,9752,1487.70932291667,0.00246032198768767,148770.932291667,"up"
997.698872884115,7.62124166666667,145412.9375,162911.421875,137988.4375,100,100,100,2,9753,1487.70932291667,0.00246032198768767,148770.932291667,"up"
